number,name,address,coordonnees,latitude,longitude
8058,8058 - LONGEFER / KRUGER,10 RUE PDT P. KRUGER,"['45.738671', '4.878117']",45.738671,4.878117
2037,2037 - PLACE DES ARCHIVES,12 COURS CHARLEMAGNE,"['45.747956', '4.824898']",45.747956,4.824898
14004,14004 - BRON - MAIRIE,,"['45.73403', '4.908777']",45.73403,4.908777
2026,2026 - RÉPUBLIQUE / PAUFIQUE,Angle rue de la République,"['45.759379', '4.835414']",45.759379,4.835414
22001,22001 - STE FOY - PLACE ST LUC,,"['45.749588', '4.800967']",45.749588,4.800967
9003,9003 - PLACE VALMY,Rue Roquette / angle rue de Bourgogne,"['45.775679', '4.805314']",45.775679,4.805314
2038,2038 - REMPARTS D'AINAY,16 RUE DES REMPARTS D'AINAY,"['45.753077', '4.829706']",45.753077,4.829706
8054,8054 - MARTINIÈRE / MONPLAISIR,34 RUE ANTOINE LUMIERE,"['45.740865', '4.868244']",45.740865,4.868244
7039,7039 - GUILLOTIÈRE / MADELEINE,Angle rue de la Madeleine,"['45.751073', '4.848018']",45.751073,4.848018
2012,2012 - GAILLETON,3 PLACE GAILLETON,"['45.753455', '4.833367']",45.753455,4.833367
7006,7006 - GERLAND,Avenue Jean Jaurès - Au niveau du square Galtier,"['45.727494', '4.831145']",45.727494,4.831145
8023,8023 - MERMOZ / PINEL,,"['45.730788', '4.887513']",45.730788,4.887513
8011,8011 - PLACE LEBRET,Côté route de Vienne,"['45.735653', '4.853042']",45.735653,4.853042
1006,1006- SUBSISTANCES,12 QUAI ST VINCENT,"['45.767912', '4.819872']",45.767912,4.819872
4002,4002 - MAIRIE DU 4E,Devant la mairie du 4°,"['45.774193', '4.827743']",45.774193,4.827743
20003,20003 - OULLINS - PONT BLANC,,"['45.720156', '4.798426']",45.720156,4.798426
3081,3081 - PART-DIEU / FRANCFORT,44 RUE MAURICE FLANDIN 69003 LYON,"['45.760689', '4.863069']",45.760689,4.863069
4007,4007 - PLACE FLAMMARION,Côté Rue Philippe de Lassalle,"['45.779332', '4.820259']",45.779332,4.820259
30002,30002 - RILLIEUX - LOUP PENDU,,"['45.815973', '4.887019']",45.815973,4.887019
3011,3011 - PART-DIEU / CUIRASSIERS,,"['45.75991', '4.857555']",45.75991,4.857555
10092,10092 - MONTGOLFIER / CHATEAU GAILLARD,3 RUE DU CHAMP DE L'ORME (VILLEURBANNE),"['45.771561', '4.890378']",45.771561,4.890378
10024,10024 - MAISONS NEUVES,Place des Maisons Neuves/Côté rue Jean Jaurès,"['45.755988', '4.877409']",45.755988,4.877409
1034,1034 - CARMÉLITES,30 MONTEE DES CARMELITES,"['45.770006', '4.829274']",45.770006,4.829274
3013,3013 - PLACE ANTOINETTE,Place Antoinette,"['45.753683', '4.889285']",45.753683,4.889285
10008,10008 - SALENGRO / VAILLANT,Rue Roger Salengro - Angle rue Vaillant,"['45.778385', '4.879673']",45.778385,4.879673
3083,3083 - LES HALLES,118 RUE MONCEY,"['45.761595', '4.850477']",45.761595,4.850477
6024,6024 - TRONCHET / ANATOLE FRANCE,Angle bvd Anatole France,"['45.770743', '4.856713']",45.770743,4.856713
8006,8006 - PLACE DU 8 MAI 1945,Rue Professeur Beauvisage/Angle bd des Etats-Unis,"['45.729771', '4.868157']",45.729771,4.868157
23001,23001 - TASSIN - TUILERIES,,"['45.763244', '4.778641']",45.763244,4.778641
9052,9052 - BALMONT,360 BVD DE BALMONT,"['45.789194', '4.799308']",45.789194,4.799308
12002,12002 - VAULX - POUDRETTE / LA SOIE,Face au 2 rue de la Poudrette Vaulx en Velin,"['45.76438', '4.919276']",45.76438,4.919276
6033,6033 - CRÉQUI / LAFAYETTE,153 RUE CREQUI,"['45.763755', '4.847082']",45.763755,4.847082
10012,10012 - ZOLA / FRANCE,Rue de France/Angle Cours Emile Zola,"['45.767957', '4.887232']",45.767957,4.887232
10124,10124 - SALENGRO / YVONNE,,"['45.77696', '4.876552']",45.77696,4.876552
10123,10123 - SAINT JEAN CANAL,,"['45.776646', '4.902366']",45.776646,4.902366
4022,4022 - PLACE DE LA CROIX-ROUSSE,Prox. Grande rue de la Croix-Rousse,"['45.77608', '4.832543']",45.77608,4.832543
10047,10047 - LHERMINIER / PRESSENSÉ,Avenue du Cdt Lherminier/Angle rue F. de Pressensé,"['45.771143', '4.88504']",45.771143,4.88504
7021,7021 - CHALLEMEL LACOUR / GERLAND,176–180 Rue de Gerland 69007 Lyon,"['45.729791', '4.838138']",45.729791,4.838138
3004,3004 - BOURSE DU TRAVAIL,Angle rue Moncey / Part-Dieu,"['45.759648', '4.848139']",45.759648,4.848139
3016,3016 - LIBERTÉ / PART-DIEU,Angle rue de la Part-Dieu,"['45.759361', '4.842308']",45.759361,4.842308
2003,2003 - PLACE AMPÈRE,Angle Henry IV,"['45.753049', '4.828297']",45.753049,4.828297
7017,7017 - BEAUVOIR / MAROT,,"['45.73674', '4.834106']",45.73674,4.834106
19001,19001 - ST GENIS L. - MÉDIATHÈQUE,,"['45.697863', '4.794658']",45.697863,4.794658
6003,6003 - AVENUE VERGUIN,Devant l'entrée du parc,"['45.772846', '4.856274']",45.772846,4.856274
7015,7015 - TECHSUD,Rue professeur Jean Bernard angle Boulevard Chambaud de la Bruyère Lyon 7,"['45.7228', '4.842706']",45.7228,4.842706
8024,8024 - MERMOZ / MICHELET,Angle av Michelet,"['45.733317', '4.878607']",45.733317,4.878607
7026,7026 - BALDASSINI / GERLAND,,"['45.727691', '4.837392']",45.727691,4.837392
24001,24001 - ECULLY - MAIRIE,,"['45.775112', '4.778531']",45.775112,4.778531
7007,7007 - FARGE / AYASSE,Angle Bld Y. Farge / rue Commandant Ayasse,"['45.735741', '4.827725']",45.735741,4.827725
8038,8038 - ALBERT THOMAS / VILLON,Angle rue Villon,"['45.746691', '4.867501']",45.746691,4.867501
10072,10072 - JACQUES BREL,Rue Jacques Brel/angle rue Korel,"['45.774228', '4.864269']",45.774228,4.864269
18001,18001 - PIERRE BÉNITE - EUROPE,,"['45.703245', '4.821204']",45.703245,4.821204
6020,6020 - MUSÉE GUIMET,Angle rue Morellet,"['45.774526', '4.848443']",45.774526,4.848443
12001,12001 - VAULX - LA SOIE,45 RUE DE LA POUDRETTE (VILLEURBANNE),"['45.760908', '4.920569']",45.760908,4.920569
10055,10055 - CONDORCET / GALLINE,Avenue Galline/angle av. de Condorcet,"['45.776428', '4.866976']",45.776428,4.866976
6025,6025 - PLACE D'HELVÉTIE,,"['45.773232', '4.841949']",45.773232,4.841949
3094,3094 - VILLETTE,74 RUE DE LA VILLETTE,"['45.757808', '4.861512']",45.757808,4.861512
5044,5044 - CHAMPVERT,87 RUE DOCTEUR EDMOND LOCARD,"['45.760056', '4.798366']",45.760056,4.798366
3069,3069 - DAUPHINÉ / SAINT-MAXIMIN,,"['45.750002', '4.864587']",45.750002,4.864587
10006,10006 - CHARPENNES,Place Charles Hernu / côté sud,"['45.770225', '4.863102']",45.770225,4.863102
9011,9011 - CONSERVATOIRE,Quai Chauveau / angle Pont Koenig,"['45.769803', '4.812681']",45.769803,4.812681
21001,21001 - LA MULATIERE - AQUARIUM,,"['45.727309', '4.814779']",45.727309,4.814779
9015,9015 - SAINT-CYR,,"['45.782855', '4.807288']",45.782855,4.807288
6012,6012 - PLACE PUVIS DE CHAVANNES,Angle rue Vendôme,"['45.771794', '4.84459']",45.771794,4.84459
8009,8009 - JEAN XXIII / MERMOZ,Boulevard Jean XXIII - Angle de la rue Mermoz,"['45.73648', '4.869789']",45.73648,4.869789
3036,3036 - FELIX FAURE / VIVIER MERLE,AVENUE FELIX FAURE ANGLE VIVIER MERLE. 10M AVANT VIVIER MERLE EN DIRECTION DU RHONE,"['45.75381', '4.859795']",45.75381,4.859795
10073,10073 - INSTITUT D'ART CONTEMPORAIN,Rue Docteur Dolard / Angle rue 4 Septembre,"['45.761468', '4.872466']",45.761468,4.872466
2035,2035 - CHILDEBERT / RIVIÈRE,,"['45.759842', '4.835776']",45.759842,4.835776
9014,9014 - QUAI DU COMMERCE,Angle rue Emile Duport,"['45.7820006188352', '4.81043960203213']",45.7820006188352,4.81043960203213
3097,3097 - AUGAGNEUR / FOSSE AUX OURS,28 QUAI VICTOR AUGAGNEUR,"['45.757192', '4.840495']",45.757192,4.840495
3035,3035 - PHILOMENE MAGNIN,,"['45.752453', '4.858785']",45.752453,4.858785
9022,9022 - MASARYK / SAINT-CYR,Angle rue Chinard/rue St Cyr,"['45.778639', '4.8071']",45.778639,4.8071
3138,3138 - VIVIER MERLE / PAUL BERT OUEST,Devant l'hôtel IBIS,"['45.757484', '4.858386']",45.757484,4.858386
10112,10112 - PLACE DE LA RECONNAISSANCE,105 ROUTE DE GENAS (VILLEURBANNE),"['45.754415', '4.885249']",45.754415,4.885249
4024,4024 - LYON METROPOLE,FACE AU 81 QUAI JOSEPH GILLET,"['45.788204', '4.818572']",45.788204,4.818572
15001,15001 - ST PRIEST - PARC TECHNOLOGIQUE,,"['45.714426', '4.930975']",45.714426,4.930975
8041,8041 - ETATS-UNIS / VIVIANI,170 Boulevard des Etats-Unis Angle Avenue Viviani direction Venissieux,"['45.724775', '4.870745']",45.724775,4.870745
2008,2008 - PLACE ANTONIN PONCET,Côté rue des Marroniers,"['45.756775', '4.833917']",45.756775,4.833917
7019,7019 - CROIX BARRET / BOURDEIX,,"['45.736722', '4.841079']",45.736722,4.841079
1005,1005 - MEISSONNIER,Place Meissonier - Angle Sud-Est de la place,"['45.766073', '4.832849']",45.766073,4.832849
6040,6040 - LES HALLES,71 COURS LAFAYETTE,"['45.764013', '4.849933']",45.764013,4.849933
10044,10044 - ROCARD OCTAVIE,,"['45.7809037283842', '4.88958755288143']",45.7809037283842,4.88958755288143
2022,2022 - PLACE CARNOT,Angle rue Plessier,"['45.751233', '4.82688']",45.751233,4.82688
4014,4014 - PHILIPPE DE LASSALLE / PILLEMENT,Angle rue Pillement,"['45.777431', '4.820526']",45.777431,4.820526
7036,7036 - GRYPHE / MONTESQUIEU,,"['45.751902', '4.843812']",45.751902,4.843812
9029,9029 - SAINT PIERRE DE VAISE,Place Vanderpol/Angle St Pierre de Vaise,"['45.773125', '4.807831']",45.773125,4.807831
3099,3099 - PLACE SAINTE ANNE,10 PLACE SAINTE ANNE,"['45.757042', '4.86532']",45.757042,4.86532
8001,8001 - UNIVERSITÉ LYON III,Devant entrée principale de l'université,"['45.748535', '4.861533']",45.748535,4.861533
3005,3005 - SAXE / GAMBETTA,Place Victor Basch,"['45.75377', '4.848043']",45.75377,4.848043
10121,10121 - PARC DU CENTRE,ANGLE RUE BILLON / RUE F. DE PRESSENSE,"['45.771912', '4.87907']",45.771912,4.87907
555,0-555 - ATELIER VÉLO'V,,"['45.780403', '4.904869']",45.780403,4.904869
8033,8033 - BERTHELOT / CAZENEUVE,,"['45.737481', '4.865503']",45.737481,4.865503
10058,10058 - MÉTRO FLACHET,274 COURS EMILE ZOLA (VILLEURBANNE),"['45.767051', '4.892467']",45.767051,4.892467
8010,8010 - PLACE MENDÈS FRANCE,95 AV. DE L'EUROPE,"['45.740052', '4.85941']",45.740052,4.85941
3067,3067 - HACHETTE,6 RUE JEAN RENOIR,"['45.752907', '4.863923']",45.752907,4.863923
7055,7055 - SERVANT / JABOULAY,23 RUE RENAN,"['45.746779', '4.842051']",45.746779,4.842051
17002,17002 - ST FONS - 4 CHEMINS,,"['45.708561', '4.854821']",45.708561,4.854821
5002,5002 - PLACE DES COMPAGNONS DE LA CHANSON,Angle rue des Aqueducs,"['45.756535', '4.796616']",45.756535,4.796616
10084,10084 - DOUA / AVENUE DES ARTS,84 avenue des Arts,"['45.783533', '4.871294']",45.783533,4.871294
9042,9042 - VAISE DOCKS,39 rue des Docks Lyon 9,"['45.786533', '4.811446']",45.786533,4.811446
7013,7013 - HALLE TONY GARNIER,93–131 Avenue Tony Garnier 69007 Lyon,"['45.730786', '4.823733']",45.730786,4.823733
14003,14003 - BRON - PLACE CURIAL,,"['45.736633', '4.917009']",45.736633,4.917009
11003,11003 - CALUIRE - LA ROCHETTE,Quai Gillet au  niveau de la place de la Rochette. Caluire et Cuire.,"['45.791748', '4.823595']",45.791748,4.823595
3039,3039 - PLACE BIR-HAKEIM,Au niveau de la rue Duvivier,"['45.752553', '4.855756']",45.752553,4.855756
10023,10023 - JAURES SAINT EXUPERY,,"['45.757646', '4.883377']",45.757646,4.883377
3053,3053 - GAMBETTA / JUSSERAND,Angle cours Gambetta,"['45.751123', '4.855604']",45.751123,4.855604
2040,2040 - ST ANTOINE / GRENETTE,12 QUAI ST AINTOINE,"['45.7633761875017', '4.83212534541183']",45.7633761875017,4.83212534541183
20002,20002 - OULLINS - MAIRIE,,"['45.714039', '4.806642']",45.714039,4.806642
2024,2024 - RÉPUBLIQUE / MAUPIN,Entre Herriot et République,"['45.758733', '4.834136']",45.758733,4.834136
1035,1035 - QUAI LASSAGNE,3 QUAI ANDRE LASSAGNE,"['45.772191', '4.837917']",45.772191,4.837917
2014,2014 - JACOBINS,3 RUE JEAN DE TOURNES,"['45.760762', '4.834305']",45.760762,4.834305
6037,6037 - CITÉ INTERNATIONALE / INTERPOL,Allée A. Lignon,"['45.782287', '4.849378']",45.782287,4.849378
10083,10083 - CHATEAU GAILLARD / BIENVENUS,2 RUE DES BIENVENUS,"['45.777873', '4.884238']",45.777873,4.884238
2017,2017 - RÉPUBLIQUE / FERRANDIÈRE,Rue de la République,"['45.762184', '4.836023']",45.762184,4.836023
8057,8057 - VIENNE / MONTAGNY,184 ROUTE DE VIENNE,"['45.732483', '4.853406']",45.732483,4.853406
